지점명,매장주소
김포장기,경기도 김포시 김포한강1로78번길 62-15 (장기동)
김포통진,경기도 김포시 통진읍 조강로 24 (서암리)
남양주,경기도 남양주시 진접읍 진건오남로 998 (연평리)
다산지금,경기도 남양주시 다산지금로146번길 18-18  1층(다산동)
다산진건,"경기도 남양주시 다산순환로 118-83  106호,107호(다산동)"
덕소,"경기도 남양주시 와부읍 수레로 49, 104~105호 (덕소리, 마이다스빌딩)"
마석,경기도 남양주시 화도읍 경춘로1876번길  3
별내,경기 남양주시 송산로 153 오토스퀘어 빌딩
호평평내,경기도 남양주시 경춘로 1324
동두천,경기도 동두천시 삼육사로 945 (생연동)
고강원종,경기도 부천시 역곡로 448 (고강동)
부천심곡,경기도 부천시 부일로 429 다온하브 1층
부천약대,경기도 부천시 도약로 213  1층
부천옥길,경기도 부천시 양지로 125 예품빌딩 1층
부천,경기도 부천시 부흥로 181 세민메가트랜스 1층 도미노피자 부천점
상동,경기도 부천시 상이로39번길 7-7  1층
소사역곡,경기도 부천시 부일로 556  1층
중동,경기도 부천시 길주로 352  1층
미금오리,"경기 성남시 분당구 성남대로 52 (103호, 104호)"
서현,경기도 성남시 분당구 서현로 377  거송빌딩 1층
성남상대원,경기도 성남시 중원구 금상로 27
성남수진,경기도 성남시 중원구 산성대로 200 (성남동)
성남태평,"경기도 성남시 수정구 성남대로 1276, 1층 (태평동)"
수내정자,"경기도 성남시 분당구 내정로113번길 4, 정자프라자 107호 (정자동)"
야탑,경기도 성남시 분당구 매화로 43
이매,"경기도 성남시 분당구 성남대로779번길 22 (이매동, 이매상가)"
판교,"경기도 성남시 분당구 서판교로 160, 106~108호 (판교동, 스타식스밸리)"
광교,경기도 수원시 영통구 센트럴타운로 92 (이의동)
권선,"경기도 수원시 권선구 권선로 746 (권선동, 효명빌딩)"
남수원,"경기도 수원시 권선구 경수대로 349, 1층 (권선동)"
동수원,경기도 수원시 팔달구 세지로 394(우만동)
북수원,"경기도 수원시 장안구 송원로 8 (송죽동, 웰가아파트)"
서수원,경기도 수원시 권선구 호매실로218번길 122  1층
성균관대 자과캠(수원,"경기도 수원시 장안구 서부로 2066, 신관기숙사B동"
수원중앙,"경기도 수원시 팔달구 매산로 46, 1층 (매산로2가)"
신영통,경기도 수원시 영통구 영통로112번길 30 (망포동)
영통,경기도 수원시 영통구 청명로 65 (영통동)
율천,"경기도 수원시 장안구 하률로 3, 1층 (천천동)"
배곧신도시,"경기도 시흥시 배곧4로 32-28 (정왕동) 그랜드프라자 101,102호"
시화,경기도 시흥시 봉우재로 32 (정왕동)
시흥목감,경기도 시흥시 남왕길 48-12(목감동)
시흥연성,경기도 시흥시 승지로69번길 7 (능곡동)
시흥은행,경기도 시흥시 은행로 180 (대야동)
고잔,"경기도 안산시 단원구 광덕대로 137, 상가 101~102호 (고잔동, 밀레니엄1)"
상록수,경기도 안산시 상록구 석호로 225 (사동)
선부,경기도 안산시 단원구 지곡로 29 (선부동)
안산성포,경기도 안산시 상록구 예술광장1로 94 (성포동)
공도,경기도 안성시 공도읍 공도4로 21 (만정리)
안성금산,경기도 안성시 대학로 84-1 (금산동)
범계,"경기도 안양시 동안구 평촌대로243번길 30, 1층 (비산동, 샤크존)"
안양석수,"경기도 안양시 만안구 경수대로 1213 (석수동, 문화빌딩)"
안양중앙,"경기도 안양시 만안구 만안로 284, 마인빌오피스텔 103호 (안양동, 마인빌)"
인덕원,경기도 안양시 동안구 관악대로 407 (관양동)
평촌,"경기도 안양시 동안구 귀인로 198, 베스트타운 101호 (평촌동)"
양주고읍,경기도 양주시 고읍로 151  현대빌딩 1층
양주,경기도 양주시 독바위로 36-1 (덕정동)
양평,경기도 양평군 양평읍 중앙로 63
여주,경기도 여주시 세종로 32  (홍문동)
여주,경기도 여주시 세종로 32  (홍문동)
오산세교,경기도 오산시 수청로 18
오산원동,"경기도 오산시 원동로 6, 102호 (원동, 파크스퀘어)"
구성,"경기도 용인시 기흥구 용구대로 2440, 1층 (마북동)"
동백,경기도 용인시 기흥구 동백중앙로 191 씨티프라자 1층 101호~102호
수지상현,"경기도 용인시 수지구 성복2로 17, 1층 (성복동, 수지골드프라자)"
수지신봉,"경기도 용인시 수지구 신봉1로 84 (신봉동, 상록신봉종합상가)"
수지,"경기도 용인시 수지구 문인로13번길 21-2 (풍덕천동, 도미노피자)"
신갈,"경기도 용인시 기흥구 금화로 3, 주공프라자 110호 (상갈동)"
용인남사,경기도 용인시 처인구 남사면 한숲로57번길 15-1  1층
용인,"경기도 용인시 처인구 금령로12번길 6-1 1층(김량장동, 도미노피자)"
용인포곡,"경기도 용인시 처인구 포곡읍 포곡로 80 (둔전리, 청석빌딩)"
죽전,"경기도 용인시 수지구 현암로 111, 1층 104호 (죽전동)"
흥덕,경기도 용인시 기흥구 흥덕1로 97
의왕오전,경기도 의왕시 효행로 54 (오전동)
의왕포일,경기도 의왕시 성고개로 53 에이스청계타워 212호
송산,경기도 의정부시 용현로 97
의정부가능,"경기도 의정부시 평화로 640, 105동 101호 (의정부동, 한진그랑빌)"
의정부민락,"경기도 의정부시 용민로 249  1층 105,106호 (낙양동,골든타워)"
의정부호원,"경기도 의정부시 평화로 271-9, 상가동 110~111호 (호원동, 신도아파트)"
이천부발,경기도 이천시 부발읍 경충대로2050번길 15-88 1층
이천창전,경기도 이천시 영창로 228 (창전동)
금촌,경기도 파주시 시청로 21 (금촌동)
문산,"경기도 파주시 문산읍 문산역로 75 (문산리, 삼문빌딩)"
파주교하,"경기도 파주시 숲속노을로 265, 105~106호 (문발동, 토우프라자)"
파주운정,"경기도 파주시 경의로 1114(야당동) 에펠타워 103,104호"
송탄,경기도 평택시 경기대로 1385 (서정동)
안중,경기도 평택시 안중읍 안현로 372
팽성,"경기도 평택시 부용로 56번길 29, 1층"
평택비전,경기도 평택시 평택2로 118 (비전동)
평택소사벌,경기도 평택시 평남로 1025 (동삭동)
포천송우,경기도 포천시 소흘읍 솔모루로 114 (송우리)
포천시청,경기도 포천시 중앙로 24 (신읍동)
하남미사,경기도 하남시 미사강변서로 30 (매장뒷편 주차장 30분 무료주차 가능)
하남신장,경기도 하남시 하남대로 786-1  1층(신장동)
남동탄,경기도 화성시 동탄순환대로 127-5  1층 108~109호
동탄,"경기도 화성시 동탄지성로 84, 101~102호 (반송동, PARKPLAZA)"
발안향남,경기도 화성시 향남읍 삼천병마로 275 (진천동)
병,"경기도 화성시 병점중앙로 156 (진안동, 드림빌딩)"
봉담,경기도 화성시 봉담읍 동화역말길 29-13 (동화리)
송산그린시티,"경기도 화성시 수노을2로 36  드림디자인센터 1층 105,106호"
신동탄,경기도 화성시 동탄순환대로 708
화성남양,"경기도 화성시 남양읍 남양시장로 105, 덕왕빌딩 101호(남양리)"
강릉,강원도 강릉시 성덕포남로 169 (포남동)
동해,강원도 동해시 감추로 42 (천곡동)
삼척,강원도 삼척시 중앙로 264 (당저동)
속초,강원도 속초시 온천로 287
양구,강원도 양구군 양구읍 양록길 68
영월,강원도 영월군 영월읍 하송로 138
문막,강원도 원주시 문막읍 원문로 1832 (문막리)
원주명륜,강원도 원주시 남원로 623 (명륜동)
원주,강원도 원주시 천사로 155-1 (일산동)
원주혁신,강원도 원주시 미래로 37 1층 104호
인제원통,강원도 인제군 인제읍  인제로206번길 38
철원,강원도 철원군 갈말읍 삼부연로7번길 6 (신철원리)
춘천석사,강원도 춘천시 공지로 220 (효자동)
춘천후평,강원도 춘천시 춘천로 247 (효자동)
태백,강원도 태백시 황지로 36
알펜시아,"강원도 평창군 대관령면 솔봉로 325, 101동 (용산리, 알펜시아리조트)"
대명비발디파크,"강원도 홍천군 서면 한치골길 262, 오크동 지하상가 (팔봉리, 대명비발디파크)"
홍천,강원도 홍천군 홍천읍 홍천로 327 (희망리)
횡성,강원 횡성군 횡성읍 문정로 57 (읍상리 306-1)
계룡,"충청남도 계룡시 엄사면 번영로 12, 1층 103호 (엄사리, 계룡오피스텔)"
공주,충청남도 공주시 신관로 31 (신관동)
논산,충청남도 논산시 중앙로 219 (내동)
당진,"충청남도 당진시 무수동로 230 (읍내동, 도미노피자)"
대천,충청남도 보령시 작은오랏1길 27 (동대동)
부여,충청남도 부여군 부여읍 성왕로 318
서산,충청남도 서산시 안견로 274
서산테크노밸리,충청남도 서산시 성연면 성연4로 27-28  유림빌딩 1층
배방,충청남도 아산시 배방읍 월천2길 78 1층
아산온양,충청남도 아산시 용화고길55번길 25
성정,"충청남도 천안시 서북구 서부대로 578, 1층 (성정동, 우정주택)"
천안성성,충청남도 천안시 서북구 한들1로 152-60
천안신방,충청남도 천안시 신촌로 41
천안쌍용,"충청남도 천안시 서북구 불당5길 19 (불당동, 다리타운빌딩)"
천안원성,"충청남도 천안시 동남구 충절로 128, 원흥빌딩 1층 (원성동)"
천안청당,충청남도 천안시 동남구 광풍로 1863 (청당동)
태안,"충청남도 태안군 태안읍 후곡로 61  1층, (남문리 704-9)"
홍성내포,충청남도 홍성군 홍북읍 충남대로 140 SFC타워 101호
홍성,충청남도 홍성군 홍성읍 홍성천길 318 (대교리)
음성금왕,충청북도 음성군 금왕읍 무극로 200 (무극리)
충북혁신,충북 음성군 맹동면 두레로 23
