지점명,주소,lat,lng
구로디지털단지점,서울 구로구 디지털로33길 12,37.4865757,126.8961598
길음뉴타운점,서울 성북구 길음로7길 6,37.6043358,127.0223968
노량진점,서울 동작구 노량진동 119-64 제1호,37.5122109,126.9441331
노원은행사거리점,서울 노원구 한글비석로 265 102호,37.6514602,127.076574
대학로점,서울시 종로구 연건동 76,37.5786287,127.0018976
동대문점,서울특별시 중구 을지로 255,37.5664501,127.0066092
마곡역점,서울 강서구 공항대로 190,37.5590423,126.8286371
마포역점,"서울특별시 마포구 마포대로 68, 1층 108호",37.5413405,126.94898
면목역점,서울특별시 중랑구 면목동 103-5,37.5892583,127.0903849
목동역점,서울 양천구 목동로 211,37.5272892,126.8639003
문래GS타워점,서울 영등포구 문래동3가 84-2,37.5206588,126.8899281
문정역점,서울 송파구 송파대로 167 테라타워 B동 지하1층 G124호,37.4848354,127.1210395
보라매점,서울 동작구 보라매로 5가길 7,37.4919528,126.9249684
상수역점,서울 마포구 독막로 77,37.5479355,126.9221025
상암DMC점,서울 마포구 상암동1605 누리꿈스퀘어,37.5794127,126.8904236
서울가재울뉴타운점,서울 서대문구 거북골로 100,37.5760198,126.9174906
서울대입구점,서울시 관악구 관악로 168,37.4801769,126.9530995
서울로테라스점,"서울 중구 퇴계로 18, 서울로테라스 2층",37.556563,126.9751735
서초역점,서울시 서초구 서초대로46길 3,37.4922778,127.0100153
석촌호수점,서울시 송파구 석촌동 24-11,37.5060927,127.0989883
선릉역점,서울 강남구 역삼동 709-5 테헤란아이파크 상가-2 1층 22호,37.5023575,127.046748
선유도역점,서울 영등포구 양평동4가 130,37.5380285,126.8942795
성수역점,서울특별시 성동구 아차산로7길 9-2,37.5461534,127.054393
성신여대점,서울 성북구 동소문로20가길 22,37.5926466,127.0177497
시흥신세계아울렛점(오픈예정),경기 시흥시 서해안로 699 시흥 신세계 프리미엄 아울렛,37.3796756,126.7369853
신논현역점,서울 서초구 서초동 1303-16 강남역아이파크 제지1층,37.5027581,127.0239193
압구정역점,서울시 강남구 압구정로 162,37.5263327,127.0274689
양재역점,서울 강남구 도곡동 957-14,37.484966,127.0350989
양천향교점,서울시 강서구 마곡동로 10길 46,37.5670117,126.8397312
여의도KBS점,서울 영등포구 의사당대로 38 102동 106호,37.5257581,126.9187147
여의도신영증권점,서울 영등포구 국제금융로8길 16,37.5213006,126.9288968
역삼GS점,서울 강남구 테헤란로27길 18 1층,37.5025539,127.0379593
역삼역점,서울 강남구 테헤란로25길 15,37.5016184,127.0352296
연신내역점,서울 은평구 연서로 244,37.6189766,126.9223544
왕십리점,서울 성동구 왕십리로 336,37.563151,127.0328462
이마트월계점,서울 노원구 마들로3길 15 이마트월계점 1층,37.6269007,127.061334
이마트트레이더스연산점,부산 연제구 좌수영로 241 이마트트레이더스연산점 1층,35.185094,129.111951
잠실점,서울 송파구 신천동 7번지 장미A상가동 내제1동 1층 108호,37.5188955,127.0993119
잠원역점,서울시 서초구 잠원동 61-9,37.5128839,127.0108474
